! Date:	12-Mar-26
!Time:	11:47
! User Name:	Sachin
! Sample Name:	YIG/Cu
! Sample ID:	YIG/Cu
! Current Source:	Keithley_6221_Delta
! LockIn Specifications:
!LockIn Input Voltage (V)=	
!LockIn Input Frequency (Hz)=	
!Time Constant for Zi LockIn  1st Harmonic (s)=	
!Time Constant for Zi LockIn 2nd Harmonic (s)=	
!Time Constant of SR7265=	
!Time Constant of SR7225=	
! Measuring Insturment 1:	
! Measuring Insturment 1:	
! U1, th1 (volts):	
! U2, th2 (volts):	
! U3, th3 (volts):	
! U4 , th4(volts):	
! U5, th5 (volts):	
! Comments:	


! 
! 
date	time	Hx (T)	Hy (T)	Hz (T)	U1	th1	U2 (V)	th2	Av_HP34420A_10points (V)	Std_HP34420A_10points	Std_DeltaVolatge	Std_DeltaVolatge	U5(V)	th5	Tcryo (K)	Tsample (K)	Heater Power (%)	
12-Mar-26	11:47:31	-4.000000E-5	-8.475000E-3	0.000000E+0	1.571500E+0	-9.000000E-4	-3.409500E-4	-1.240000E-5	0.000000E+0	0.000000E+0	-2.577324E-5	NaN	0.000000E+0	0.000000E+0	2.999999E+2	0.000000E+0	2.999999E+2
12-Mar-26	11:47:33	-4.000000E-5	-3.300500E-2	0.000000E+0	1.571500E+0	-9.000000E-4	-3.409500E-4	-1.240000E-5	0.000000E+0	0.000000E+0	-2.406259E-5	NaN	0.000000E+0	0.000000E+0	2.999999E+2	0.000000E+0	2.999999E+2
12-Mar-26	11:47:34	-4.000000E-5	-5.742500E-2	0.000000E+0	1.571500E+0	-9.000000E-4	-3.409500E-4	-1.240000E-5	0.000000E+0	0.000000E+0	-2.260963E-5	NaN	0.000000E+0	0.000000E+0	2.999999E+2	0.000000E+0	2.999999E+2
12-Mar-26	11:47:35	-4.000000E-5	-8.063500E-2	0.000000E+0	1.571500E+0	-9.000000E-4	-3.409500E-4	-1.240000E-5	0.000000E+0	0.000000E+0	-2.141040E-5	NaN	0.000000E+0	0.000000E+0	2.999999E+2	0.000000E+0	2.999999E+2
12-Mar-26	11:47:37	-4.000000E-5	-1.030950E-1	0.000000E+0	1.571500E+0	-9.000000E-4	-3.409500E-4	-1.240000E-5	0.000000E+0	0.000000E+0	-2.052308E-5	NaN	0.000000E+0	0.000000E+0	2.999999E+2	0.000000E+0	2.999999E+2
12-Mar-26	11:47:38	-4.000000E-5	-1.255450E-1	0.000000E+0	1.571500E+0	-9.000000E-4	-3.409500E-4	-1.240000E-5	0.000000E+0	0.000000E+0	-1.969893E-5	NaN	0.000000E+0	0.000000E+0	2.999999E+2	0.000000E+0	2.999999E+2
12-Mar-26	11:47:39	-4.000000E-5	-1.489000E-1	0.000000E+0	1.571500E+0	-9.000000E-4	-3.409500E-4	-1.240000E-5	0.000000E+0	0.000000E+0	-1.887108E-5	NaN	0.000000E+0	0.000000E+0	2.999999E+2	0.000000E+0	2.999999E+2
12-Mar-26	11:47:40	-4.000000E-5	-1.722850E-1	0.000000E+0	1.571500E+0	-9.000000E-4	-3.409500E-4	-1.240000E-5	0.000000E+0	0.000000E+0	-1.806013E-5	NaN	0.000000E+0	0.000000E+0	2.999999E+2	0.000000E+0	2.999999E+2
12-Mar-26	11:47:42	-4.000000E-5	-1.947750E-1	0.000000E+0	1.571500E+0	-9.000000E-4	-3.409500E-4	-1.240000E-5	0.000000E+0	0.000000E+0	-1.727235E-5	NaN	0.000000E+0	0.000000E+0	2.999999E+2	0.000000E+0	2.999999E+2
12-Mar-26	11:47:43	-4.000000E-5	-2.181250E-1	0.000000E+0	1.571500E+0	-9.000000E-4	-3.409500E-4	-1.240000E-5	0.000000E+0	0.000000E+0	-1.651346E-5	NaN	0.000000E+0	0.000000E+0	2.999999E+2	0.000000E+0	2.999999E+2
