[Header]
TITLE,MPMS RSO Measurement
BYAPP,MPMS Measurement,1.1,Summary
FILEOPENTIME, 1773250747.226000 3/11/2026, 6:39:07 PM

INFO, APPNAME, MPMS MultiVu Application, Revision 1.61,  Build 082

INFO, NAME, SSN103
INFO, WEIGHT, 0.000
INFO, AREA, 0.000
INFO, LENGTH, 0.000
INFO, SHAPE, 0
INFO, COMMENT, IP
INFO, SEQUENCE FILE: Seq_SSN103_300K_IP.seq


INFO, BACKGROUND DATA FILE:, None


STARTUPAXIS,X,4,LINEAR,AUTO,0.000000,0.000000
STARTUPAXIS,Y1,5,LINEAR,AUTO,0.000000,0.000000


STARTUPGROUP,Longitudinal
FIELDGROUP,Longitudinal,1,2,3,4,5,6,7,8,9,10,11,19,20,21,22,23,35
FIELDGROUP,Transverse,1,2,3,4,12,13,14,15,16,17,18,24,25,26,27,28,35

PLOT_APPEARANCE,ALL,HORZ_GRID_ON,VERT_GRID_ON,MARKERS_AND_LINES

[Data]
Time,Comment,Field (Oe),Temperature (K),Long Moment (emu),Long Scan Std Dev,Long Offset (cm),Long Offset Std Dev,Long Algorithm,Long Reg Fit,Long Reg Factor,Trans Moment (emu),Trans Scan Std Dev,Trans Offset (cm),Trans Offset Std Dev,Trans Algorithm,Trans Reg Fit,Trans Reg Factor,Long Moment [w/o ABS] (emu),Long Scan Std Dev [w/o ABS],Long Offset [w/o ABS] (cm),Long Offset Std Dev [w/o ABS],Long Reg Fit [w/o ABS],Trans Moment [w/o ABS] (emu),Trans Scan Std Dev [w/o ABS],Trans Offset [w/o ABS] (cm),Trans Offset Std Dev [w/o ABS],Trans Reg Fit [w/o ABS],RSO Position (deg),Amplitude (cm),Frequency,Cycles to Average,Scans per Measurement,Delta Temp (K),Error,EC Comp. Running,Using ABS,
1773250747.226,,1.000000e+004,2.999865e+002,1.986277e-004,0.000000e+000,1.461647e-005,0.000000e+000,3,7.151395e-001,1.825000e+000,,,,,,,,,,,,,,,,,,0,4.000000e+000,1.000000e+000,5,1,8.605957e-003,0,,0,
1773250869.314,,9.500000e+003,2.999995e+002,1.991602e-004,0.000000e+000,1.829146e-003,0.000000e+000,3,8.524545e-001,1.825000e+000,,,,,,,,,,,,,,,,,,0,4.000000e+000,1.000000e+000,5,1,0.000000e+000,0,,0,
1773250978.186,,9.000000e+003,3.000082e+002,2.039043e-004,0.000000e+000,4.158288e-003,0.000000e+000,3,8.589272e-001,1.825000e+000,,,,,,,,,,,,,,,,,,0,4.000000e+000,1.000000e+000,5,1,0.000000e+000,0,,0,
1773251086.566,,8.500000e+003,3.000082e+002,2.086313e-004,0.000000e+000,5.596006e-003,0.000000e+000,3,8.641271e-001,1.825000e+000,,,,,,,,,,,,,,,,,,0,4.000000e+000,1.000000e+000,5,1,0.000000e+000,0,,0,
1773251199.715,,8.000000e+003,3.000082e+002,2.129934e-004,0.000000e+000,4.295111e-003,0.000000e+000,3,8.642795e-001,1.825000e+000,,,,,,,,,,,,,,,,,,0,4.000000e+000,1.000000e+000,5,1,0.000000e+000,0,,0,
1773251303.757,,7.500000e+003,2.999995e+002,2.180277e-004,0.000000e+000,6.664910e-003,0.000000e+000,3,8.709843e-001,1.825000e+000,,,,,,,,,,,,,,,,,,0,4.000000e+000,1.000000e+000,5,1,0.000000e+000,0,,0,
1773251407.617,,7.000000e+003,3.000038e+002,2.223149e-004,0.000000e+000,6.274829e-003,0.000000e+000,3,8.732870e-001,1.825000e+000,,,,,,,,,,,,,,,,,,0,4.000000e+000,1.000000e+000,5,1,8.697510e-003,0,,0,
1773251516.804,,6.500000e+003,3.000082e+002,2.266569e-004,0.000000e+000,3.799137e-003,0.000000e+000,3,8.712469e-001,1.825000e+000,,,,,,,,,,,,,,,,,,0,4.000000e+000,1.000000e+000,5,1,0.000000e+000,0,,0,
1773251624.987,,6.000000e+003,3.000082e+002,2.308673e-004,0.000000e+000,2.480501e-003,0.000000e+000,3,8.721445e-001,1.825000e+000,,,,,,,,,,,,,,,,,,0,4.000000e+000,1.000000e+000,5,1,0.000000e+000,0,,0,
1773251732.733,,5.500000e+003,2.999995e+002,2.361257e-004,0.000000e+000,5.594293e-003,0.000000e+000,3,8.798684e-001,1.825000e+000,,,,,,,,,,,,,,,,,,0,4.000000e+000,1.000000e+000,5,1,0.000000e+000,0,,0,
1773251845.307,,5.000000e+003,2.999995e+002,2.405295e-004,0.000000e+000,5.195088e-003,0.000000e+000,3,8.829947e-001,1.825000e+000,,,,,,,,,,,,,,,,,,0,4.000000e+000,1.000000e+000,5,1,0.000000e+000,0,,0,
1773251962.218,,4.500000e+003,3.000038e+002,2.453108e-004,0.000000e+000,6.356047e-003,0.000000e+000,3,8.858683e-001,1.825000e+000,,,,,,,,,,,,,,,,,,0,4.000000e+000,1.000000e+000,5,1,8.697510e-003,0,,0,
1773252083.768,,4.000000e+003,3.000038e+002,2.496611e-004,0.000000e+000,6.512711e-003,0.000000e+000,3,8.871975e-001,1.825000e+000,,,,,,,,,,,,,,,,,,0,4.000000e+000,1.000000e+000,5,1,8.697510e-003,0,,0,
1773252201.348,,3.500000e+003,2.999995e+002,2.539563e-004,0.000000e+000,3.866250e-003,0.000000e+000,3,8.853773e-001,1.825000e+000,,,,,,,,,,,,,,,,,,0,4.000000e+000,1.000000e+000,5,1,0.000000e+000,0,,0,
1773252313.717,,3.000000e+003,3.000082e+002,2.588374e-004,0.000000e+000,5.959360e-003,0.000000e+000,3,8.917572e-001,1.825000e+000,,,,,,,,,,,,,,,,,,0,4.000000e+000,1.000000e+000,5,1,0.000000e+000,0,,0,
1773252426.169,,2.500000e+003,3.000038e+002,2.633077e-004,0.000000e+000,5.472625e-003,0.000000e+000,3,8.926176e-001,1.825000e+000,,,,,,,,,,,,,,,,,,0,4.000000e+000,1.000000e+000,5,1,8.697510e-003,0,,0,
1773252543.018,,2.000000e+003,3.000038e+002,2.678927e-004,0.000000e+000,5.327493e-003,0.000000e+000,3,8.950878e-001,1.825000e+000,,,,,,,,,,,,,,,,,,0,4.000000e+000,1.000000e+000,5,1,8.697510e-003,0,,0,
